State,Year,Arson,Assault on Women,Bank Robbery,Burglary,Cheating,Child Abuse,Corruption,Cyber Crime,Domestic Violence,Dowry Deaths,Drug Trafficking,Extortion,Forgery,Fraud,Human Trafficking,Illegal Weapons,Kidnapping,Money Laundering,Murder,Rape,Riots,Sexual Harassment,Stalking,Theft,Trespassing
Andhra Pradesh,2015,0,0,0,0,1301,354,0,0,0,0,0,0,0,2163,0,0,0,0,0,0,0,608,972,0,1190
Andhra Pradesh,2016,1013,0,618,0,0,0,502,0,1364,1449,1320,0,0,0,1194,1194,0,0,0,0,0,0,0,0,1231
Andhra Pradesh,2017,891,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,1379,0,0,0,0,0,0,0
Andhra Pradesh,2018,0,158,1470,287,0,0,0,1241,982,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0
Andhra Pradesh,2019,0,0,1309,657,0,880,1457,357,0,0,0,0,0,574,1075,2490,0,0,0,0,0,22,2599,0,0
Andhra Pradesh,2020,0,1298,0,0,0,76,610,0,0,849,0,0,0,0,0,0,0,0,0,0,838,128,0,0,0
Arunachal Pradesh,2015,482,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,229,748,0,0,0,1143,1407,0
Arunachal Pradesh,2016,0,118,0,562,0,0,0,1225,0,0,1054,0,0,1480,0,0,0,0,0,0,0,0,823,0,1677
Arunachal Pradesh,2017,83,0,0,0,0,0,429,1147,0,0,0,0,778,0,387,631,0,2006,0,0,0,1176,0,0,0
Arunachal Pradesh,2018,241,0,46,0,471,0,0,1365,203,0,0,0,599,0,0,0,2127,0,247,0,0,0,0,0,0
Arunachal Pradesh,2019,0,0,0,0,0,0,0,1182,0,0,0,1470,1382,780,0,0,133,0,0,1037,556,459,0,0,0
Arunachal Pradesh,2020,900,0,0,0,0,0,0,0,0,0,0,0,1350,557,0,0,0,0,0,0,0,1306,0,0,0
Assam,2015,379,0,360,0,2124,0,0,0,45,0,0,897,0,2210,0,0,0,0,0,0,431,748,0,0,0
Assam,2016,1034,1386,0,264,0,0,0,962,0,0,0,0,0,396,0,0,1022,0,0,248,0,0,0,1177,0
Assam,2017,266,516,0,371,0,0,0,0,0,0,0,0,85,1035,719,0,0,0,1093,0,0,1022,0,1222,1302
Assam,2018,1137,499,0,1272,0,799,0,0,0,0,476,903,0,0,819,0,453,0,0,0,0,0,0,0,1190
Assam,2019,1187,602,0,0,0,55,190,1323,923,0,956,0,424,0,0,1060,0,0,0,1191,0,680,0,2419,772
Assam,2020,0,0,0,331,0,299,0,0,2117,0,951,0,0,0,0,945,0,0,0,458,0,0,0,219,0
Bihar,2015,0,543,0,268,0,79,0,0,0,0,0,125,0,0,1483,2093,434,0,0,0,0,0,0,335,0
Bihar,2016,0,0,141,0,0,62,0,0,1239,0,1450,0,0,371,0,0,0,0,0,0,0,0,0,0,2044
